p_id,p_title,cat_id,seller_product_id,sku,price,p_product_id,brand,category,p_url,img_url,p_original_price,discount,refund,TIKI_now,create_at
48,Combo Máy Đọc Sách Kindle Paperwhite Gen 10th (8GB - Màu Đen) và Bao da WELL BEGUN Màu vàng - Hàng Chính Hãng,18,19460705,3304759125883,3290000,19460704,Kindle,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/combo-may-doc-sach-kindle-paperwhite-gen-10th-8gb-mau-den-va-bao-da-well-begun-mau-vang-hang-chinh-hang-p19460704.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/8e/9c/39/c36bc4be8167a492883f37a53a7f7924.jpg,4990000,-34%,No,Yes,2020-10-03 15:14:46
49,Máy Đọc Sách Likebook Mars - Hàng chính hãng,18,24505296,8509540710285,4990000,24505295,Likebook,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-likebook-mars-hang-chinh-hang-p24505295.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5f/f3/51/d7ff4a4990b68c89b59cb8af2be4bf0e.jpg,6000000,-17%,No,Yes,2020-10-03 15:14:46
50,Máy đọc sách Onyx Boox Note 2 - HÀNG CHÍNH HÃNG,18,55426140,9462144943086,13454000,40436685,Onyx Boox,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-onyx-boox-note-2-hang-chinh-hang-p40436685.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5f/c9/49/bdc71ec81455bbbc0a37063e0de52da3.jpg,15590000,-14%,No,Yes,2020-10-03 15:14:46
51,Máy Đọc Sách Kindle PaperWhite Gen 10 - 2019 (32GB) - Hàng Nhập Khẩu,18,35277253,3028862885105,3850000,28624284,Kindle,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-kindle-paperwhite-gen-10-2019-32gb-hang-nhap-khau-p28624284.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/78/e8/24/d61655bf0f74b97a7ac7b50c23eae949.jpg,4890000,-21%,No,Yes,2020-10-03 15:14:46
52,Máy Đọc Sách Boox Nova 2 - Hàng Chính Hãng,18,66689465,7377522788109,8590000,58913366,Onyx Boox,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-boox-nova-2-hang-chinh-hang-p58913366.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d2/8e/9b/8346627fd6f446f421a0e5a4af3653df.jpg,9990000,-14%,No,Yes,2020-10-03 15:14:46
53,Máy tính bảng Kindle Fire HD8 Model 2020 - 32GB - Hàng nhập khẩu,18,67085910,4619769343257,2245000,67085908,Amazon,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-tinh-bang-kindle-fire-hd8-model-2020-32gb-hang-nhap-khau-p67085908.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e9/20/d4/6d20dfbd10ec451819a11be7fdae63ca.jpg,2990000,-25%,No,Yes,2020-10-03 15:14:46
54,Máy đọc sách Kindle for kids - 2019,18,54802327,3054101610825,2749000,54802325,Amazon,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-kindle-for-kids-201-p54802325.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/eb/fb/8c/764fe79326136ff299c52dd0312e5ed8.JPG,3000000,-8%,No,Yes,2020-10-03 15:14:46
55,Máy Đọc Sách Likebook Alita - Hàng chính hãng,18,32900891,6925934011431,11490000,32900890,Likebook,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-likebook-alita-hang-chinh-hang-p32900890.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f1/0a/bd/d643a9283329b40eb9155a1bab0a52e0.jpg,14290000,-20%,No,Yes,2020-10-03 15:14:46
56,Máy Đọc Sách Kindle Paperwhite 2018 (7th) - Hàng Chính Hãng,18,21613699,7106526068791,2790000,2686969,Kindle,Điện Thoại - Máy Tính Bảng/Máy tính bảng,/may-doc-sach-kindle-paperwhite-2018-7th-hang-chinh-hang-p2686969.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/_/1.u5618.d20170823.t165017.549518.jpg,3390000,-18%,No,Yes,2020-10-03 15:14:46
57,Máy Đọc Sách Boox Max 3 - Đen - Hàng Chính Hãng,18,58913263,5833799013426,19790000,58913262,Onyx Boox,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-boox-max-3-den-hang-chinh-hang-p58913262.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/01/ec/59/67283e8789de36b9ff0965cc75872c68.jpg,21990000,-10%,No,Yes,2020-10-03 15:14:46
58,Máy Đọc Sách Onyx Boox Poke 2 - Hàng Chính Hãng,18,66690963,6484884669579,4890000,57864334,Onyx Boox,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-onyx-boox-poke-2-hang-chinh-hang-p57864334.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/1b/1c/5a/da50f6b0d600630898bba4044682303d.jpg,5590000,-13%,No,Yes,2020-10-03 15:14:46
59,Máy tính bảng Kindle Fire HD8 Plus 2020 - Ram 3Gb - 32Gb - Hàng nhập khẩu,18,67243939,2117762486558,2749000,67087279,Amazon,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-tinh-bang-kindle-fire-hd8-plus-2020-ram-3gb-32gb-hang-nhap-khau-p67087279.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/63/77/64/da9b9ea9ff163c50693c85751ee4ec92.jpg,3190000,-14%,No,Yes,2020-10-03 15:14:46
60,Máy đọc sách All New Kindle Bản đặc biệt 8GB - Hàng nhập khẩu,18,66773645,1482601797784,2690000,66773643,Amazon,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-all-new-kindle-ban-dac-biet-8gb-hang-nhap-khau-p66773643.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/73/55/1f/6d41ff1a98006a065967f02b3f84f530.jpg,3190000,-16%,No,Yes,2020-10-03 15:14:46
61,Máy Đọc Sách Kindle Paperwhite 2018 (7th) - 4Gb - Refurbished - Hàng nhập khẩu,18,68706975,2086099562184,2379000,67216147,Amazon,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-kindle-paperwhite-2018-7th-4gb-refurbished-hang-nhap-khau-p67216147.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/2d/7d/30/cdf1ccb7bc52244de533816758653f70.png,2990000,-20%,No,Yes,2020-10-03 15:14:46
62,Máy Đọc Sách Likebook Muses - Hàng chính hãng,18,24456740,9630669122051,6590000,24456739,Likebook,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-likebook-muses-hang-chinh-hang-p24456739.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/b8/74/ea/8310395323b31b27c400f0154fa2f742.jpg,8000000,-18%,No,Yes,2020-10-03 15:14:46
63,Máy Đọc Sách Boox Note Plus (Note+) - Hàng Nhập Khẩu,18,8274319,4593212841753,13490000,8274317,BOOX,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-boox-note-plus-note-hang-nhap-khau-p8274317.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ff/2f/d9/9d73a790bcaefad6805b6c7e6dc87a3c.jpg,13490000,0%,No,Yes,2020-10-03 15:14:46
64,Máy đọc sách All-new Kindle Kids Edition - Hàng nhập khẩu,18,67081294,9402697915017,2645000,67081292,Amazon,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-all-new-kindle-kids-edition-hang-nhap-khau-p67081292.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/41/ee/16/8e4c146ced03b4690be3bc267f1d0efc.jpg,3590000,-26%,No,Yes,2020-10-03 15:14:46
65,Máy Đọc Sách Kobo Forma - Bản 32GB - Hàng Nhập Khẩu,18,20701414,9189744612661,8686000,7958004,Kobo,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-kobo-forma-ban-32gb-hang-nhap-khau-p7958004.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a2/70/98/f0051f019342163bac8e1fbb07d6312c.jpg,8990000,-3%,No,Yes,2020-10-03 15:14:46
66,Máy Đọc Sách Likebook Mimas - Hàng chính hãng,18,24508288,4522410201021,9490000,24508287,Likebook,Điện Thoại - Máy Tính Bảng/Máy đọc sách,/may-doc-sach-likebook-mimas-hang-chinh-hang-p24508287.html?src=category-page-1789.28856&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/3e/6a/01/15cbcaa8454df82a81ea190abd9d1f39.jpg,12000000,-21%,No,Yes,2020-10-03 15:14:46
